Variable,Count,Mean,St. Dev.,Median,95% CI Lower,95% CI Upper,Min,Max,Skew,Kurtosis
BMI,"76,486",28.57,6.55,27.44,28.53,28.62,12.08,76.82,1.28,3.27
Number_of_Children,"76,486",0.48,1.1,0.0,0.47,0.48,0.0,82.0,14.35,846.35
Marijuana_Use_30_Days,"76,486",2.38,7.38,0.0,2.33,2.43,0.0,30.0,3.16,8.5
Number_of_Days_Last_Month_Poor_Health,"76,486",5.46,9.11,0.0,5.39,5.52,0.0,30.0,1.77,1.86
Total_Drinks_30_days,"76,486",16.23,41.61,5.0,15.94,16.53,0.0,2280.0,15.19,466.03
Sugar_Soda_Drinks_Per_Day,"76,486",2.42,6.76,1.0,2.37,2.47,1.0,99.0,12.3,166.89
Non_Soda_Sugar_Drinks_Per_Day,"76,486",2.4,6.94,1.0,2.35,2.45,1.0,99.0,11.97,158.27
